episode,timestep,reward
1,1000,4849.262
2,2000,4944.792
3,3000,4794.615
4,4000,4806.847
5,5000,4899.979
6,6000,4786.962
7,7000,4772.2
8,8000,4846.176
9,9000,4891.748
10,10000,4836.84
11,11000,4865.864
12,12000,4794.275
13,13000,4837.966
14,14000,4826.557
15,15000,4812.864
16,16000,4800.792
17,17000,4812.177
18,18000,4861.705
19,19000,4836.571
20,20000,4898.067
21,21000,4931.655
22,22000,4922.236
23,23000,4809.195
24,24000,4792.51
25,25000,4882.205
26,26000,4705.987
27,27000,4779.51
28,28000,4786.348
29,29000,4746.468
30,30000,4745.769
31,31000,4745.062
32,32000,4745.507
33,33000,4746.039
34,34000,4732.599
35,35000,4735.001
36,36000,4736.251
37,37000,4735.362
38,38000,4734.997
39,39000,4734.3
40,40000,4732.942
41,41000,4732.539
42,42000,4734.546
43,43000,4750.234
44,44000,4784.73
45,45000,4744.153
46,46000,4768.654
47,47000,4761.072
48,48000,4748.519
49,49000,4752.701
50,50000,4765.802
51,51000,4819.57
52,52000,4844.738
53,53000,4811.967
54,54000,4760.055
55,55000,4757.781
56,56000,4758.438
57,57000,4759.274
58,58000,4753.852
59,59000,4782.623
60,60000,4795.918
61,61000,4751.913
62,62000,4774.401
63,63000,4762.202
64,64000,4762.827
65,65000,4764.208
66,66000,4791.732
67,67000,4788.756
68,68000,4778.291
69,69000,4789.634
70,70000,4792.485
71,71000,4839.327
72,72000,4839.745
73,73000,4811.336
74,74000,4848.771
75,75000,4847.236
76,76000,4864.767
77,77000,4780.719
78,78000,4844.36
79,79000,4832.727
80,80000,4821.152
81,81000,4851.475
82,82000,4858.776
83,83000,4858.105
84,84000,4903.056
85,85000,4871.459
86,86000,4872.635
87,87000,4861.174
88,88000,4840.023
89,89000,4864.363
90,90000,4844.449
91,91000,4842.482
92,92000,4866.837
93,93000,4804.682
94,94000,4785.841
95,95000,4787.868
96,96000,4796.87
97,97000,4800.073
98,98000,4807.122
99,99000,4801.003
100,100000,4815.921
